# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: /home/roberto/altera/13.1/cMIPS/tb_cMIPS.csv
# Generated on: Wed Apr  5 11:34:08 2017

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
adc_cnvst,Input,PIN_AB18,4,B4_N1,PIN_AB18,3.3-V LVTTL,,,,
adc_csn,Input,PIN_AA17,4,B4_N1,PIN_AA17,3.3-V LVTTL,,,,
adc_dout1,Input,PIN_AB19,4,B4_N1,PIN_AB19,3.3-V LVTTL,,,,
adc_dout2,Input,PIN_AA19,4,B4_N1,PIN_AA19,3.3-V LVTTL,,,,
adc_refsel,Input,PIN_AB17,4,B4_N1,PIN_AB17,3.3-V LVTTL,,,,
adc_sclk,Input,PIN_AA18,4,B4_N1,PIN_AA18,3.3-V LVTTL,,,,
adc_sd,Input,PIN_AA16,4,B4_N2,PIN_AA16,3.3-V LVTTL,,,,
adc_sel,Input,PIN_AB16,4,B4_N2,PIN_AB16,3.3-V LVTTL,,,,
adc_ub,Input,PIN_AB20,4,B4_N0,PIN_AB20,3.3-V LVTTL,,,,
clock1_50mhz,Input,PIN_T2,2,B2_N0,PIN_T2,3.3-V LVTTL,,,,
clock2_50mhz,Input,PIN_T21,5,B5_N0,PIN_T21,3.3-V LVTTL,,,,
clock3_50mhz,Input,PIN_T22,5,B5_N0,PIN_T22,3.3-V LVTTL,,,,
clock_50mhz,Input,PIN_T1,2,B2_N0,PIN_T1,3.3-V LVTTL,,,,
dac_clr,Input,PIN_AA15,4,B4_N3,PIN_AA15,3.3-V LVTTL,,,,
dac_csn,Input,PIN_AB15,4,B4_N3,PIN_AB15,,,,,
dac_din,Input,PIN_AB14,4,B4_N3,PIN_AB14,3.3-V LVTTL,,,,
dac_sclk,Input,PIN_AA14,4,B4_N3,PIN_AA14,3.3-V LVTTL,,,,
disp0[7],Output,PIN_W1,2,B2_N2,PIN_W1,3.3-V LVTTL,,Maximum Current,,
disp0[6],Output,PIN_W2,2,B2_N2,PIN_W2,3.3-V LVTTL,,Maximum Current,,
disp0[5],Output,PIN_Y1,2,B2_N2,PIN_Y1,3.3-V LVTTL,,Maximum Current,,
disp0[4],Output,PIN_Y2,2,B2_N2,PIN_Y2,3.3-V LVTTL,,Maximum Current,,
disp0[3],Output,PIN_U1,2,B2_N1,PIN_U1,3.3-V LVTTL,,Maximum Current,,
disp0[2],Output,PIN_U2,2,B2_N1,PIN_U2,3.3-V LVTTL,,Maximum Current,,
disp0[1],Output,PIN_V1,2,B2_N1,PIN_V1,3.3-V LVTTL,,Maximum Current,,
disp0[0],Output,PIN_V2,2,B2_N1,PIN_V2,3.3-V LVTTL,,Maximum Current,,
